timestamp,power_draw_W
2025-10-14T01:29:47.365942+00:00,2.81
2025-10-14T01:29:48.415306+00:00,2.60
2025-10-14T01:29:49.476841+00:00,2.86
2025-10-14T01:29:50.526719+00:00,2.67
2025-10-14T01:29:51.585619+00:00,2.64
2025-10-14T01:29:52.659755+00:00,2.81
2025-10-14T01:29:53.707374+00:00,2.63
2025-10-14T01:29:54.767473+00:00,2.83
2025-10-14T01:29:55.821579+00:00,2.66
2025-10-14T01:29:56.883977+00:00,2.80
2025-10-14T01:29:57.926582+00:00,2.71
2025-10-14T01:29:58.968865+00:00,2.82
2025-10-14T01:30:00.042092+00:00,2.79
2025-10-14T01:30:01.093138+00:00,2.74
2025-10-14T01:30:02.150012+00:00,2.74
2025-10-14T01:30:03.198185+00:00,2.69
2025-10-14T01:30:04.262604+00:00,2.60
2025-10-14T01:30:05.317974+00:00,2.59
2025-10-14T01:30:06.372320+00:00,2.81
2025-10-14T01:30:07.437459+00:00,2.59
2025-10-14T01:30:08.496586+00:00,2.82
2025-10-14T01:30:09.555600+00:00,2.67
2025-10-14T01:30:10.611266+00:00,2.72
2025-10-14T01:30:11.672687+00:00,2.70
2025-10-14T01:30:12.728514+00:00,2.71
2025-10-14T01:30:13.785141+00:00,2.87
2025-10-14T01:30:14.838290+00:00,2.65
2025-10-14T01:30:15.891197+00:00,2.88
2025-10-14T01:30:16.952004+00:00,2.71
2025-10-14T01:30:18.008002+00:00,2.73
2025-10-14T01:30:19.066896+00:00,2.85
2025-10-14T01:30:20.120702+00:00,3.66
2025-10-14T01:30:21.181335+00:00,3.64
2025-10-14T01:30:22.227204+00:00,2.68
2025-10-14T01:30:23.279986+00:00,2.77
2025-10-14T01:30:24.331097+00:00,2.81
2025-10-14T01:30:25.387755+00:00,2.97
2025-10-14T01:30:26.447160+00:00,2.66
2025-10-14T01:30:27.506920+00:00,2.86
2025-10-14T01:30:28.564163+00:00,2.71
2025-10-14T01:30:29.623388+00:00,2.77
2025-10-14T01:30:30.687135+00:00,2.71
2025-10-14T01:30:31.740975+00:00,2.72
2025-10-14T01:30:32.801653+00:00,2.88
2025-10-14T01:30:33.870327+00:00,2.66
2025-10-14T01:30:34.927976+00:00,2.84
2025-10-14T01:30:35.979718+00:00,2.66
2025-10-14T01:30:37.039250+00:00,2.78
2025-10-14T01:30:38.094985+00:00,2.84
2025-10-14T01:30:39.154756+00:00,2.67
2025-10-14T01:30:40.211370+00:00,3.00
2025-10-14T01:30:41.271518+00:00,2.66
2025-10-14T01:30:42.324458+00:00,2.86
2025-10-14T01:30:43.392823+00:00,2.66
2025-10-14T01:30:44.447458+00:00,2.66
2025-10-14T01:30:45.508085+00:00,2.63
2025-10-14T01:30:46.558823+00:00,2.67
2025-10-14T01:30:47.617867+00:00,2.83
